symbol,company_name,sector,market_cap,headquarters,exchange
UNOMINDA,UNO Minda,Automobile and Auto Components,,India,NSE
UPL,UPL,Chemicals,,India,NSE
USHAMART,Usha Martin,Capital Goods,,India,NSE
UTIAMC,UTI Asset Management Company,Financial Services,,India,NSE
VBL,Varun Beverages,Fast Moving Consumer Goods,,India,NSE
VEDL,Vedanta,Metals & Mining,,India,NSE
VENTIVE,Ventive Hospitality,Consumer Services,,India,NSE
VGUARD,V-Guard Industries,Consumer Durables,,India,NSE
VIJAYA,Vijaya Diagnostic Centre,Healthcare,,India,NSE
VMM,Vishal Mega Mart,Consumer Services,,India,NSE
VOLTAS,Voltas,Consumer Durables,,India,NSE
VTL,Vardhman Textiles,Textiles,,India,NSE
WAAREEENER,Waaree Energies,Capital Goods,,India,NSE
WELCORP,Welspun Corp,Capital Goods,,India,NSE
WELSPUNLIV,Welspun Living,Textiles,,India,NSE
WHIRLPOOL,Whirlpool of India,Consumer Durables,,India,NSE
WIPRO,Wipro,Information Technology,,India,NSE
WOCKPHARMA,Wockhardt,Healthcare,,India,NSE
YESBANK,Yes Bank,Financial Services,,India,NSE
ZEEL,Zee Entertainment Enterprises,Media Entertainment & Publication,,India,NSE
ZENSARTECH,Zensar Technolgies,Information Technology,,India,NSE
ZENTEC,Zen Technologies,Capital Goods,,India,NSE
ZFCVINDIA,ZF Commercial Vehicle Control Systems India,Automobile and Auto Components,,India,NSE
ZYDUSLIFE,Zydus Lifesciences,Healthcare,,India,NSE
